"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"TXACBUS","194913","7879.511","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","195013","8383.41","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","195113","8933.492","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","195213","8906.901","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","195313","9030.068","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","195413","8822.565","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","195513","9474.444","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","195613","9790.341","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","195713","9836.715","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","195813","9952.027","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","195913","10297.638","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","196013","10559.621","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","196113","10733.759","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","196213","11184.919","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","196313","11620.061","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","196413","11963.275","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","196513","12398.748","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","196613","13067.569","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","196713","13718.245","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","196813","14831.282","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","196913","15471.308","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197013","16061.948","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197113","16694.402","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197213","17682.204","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197301","1504.805","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197302","1438.298","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197303","1561.293","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197304","1480.403","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197305","1622.115","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197306","1541.377","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197307","1584.971","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197308","1646.908","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197309","1503.443","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197310","1577.704","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197311","1581.538","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197312","1534.434","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197313","18577.289","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197401","1438.094","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197402","1338.913","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197403","1480.536","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197404","1467.557","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
"TXACBUS","197405","1557.263","1","Total Primary Energy Consumed by the Transportation Sector","Trillion Btu"
