"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PAIMPAG","194913","Not Available","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","195013","Not Available","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","195113","Not Available","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","195213","Not Available","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","195313","Not Available","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","195413","Not Available","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","195513","Not Available","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","195613","Not Available","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","195713","Not Available","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","195813","Not Available","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","195913","Not Available","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","196013","0","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","196113","0","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","196213","0","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","196313","0","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","196413","0","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","196513","0","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","196613","0","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","196713","0","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","196813","0","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","196913","1.975","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197013","7.748","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197113","15.219","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197213","92.443","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197301","180.065","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197302","173.679","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197303","141.323","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197304","108.867","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197305","180.581","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197306","168.833","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197307","172.581","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197308","131.645","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197309","144.033","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197310","166.839","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197311","41.633","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197312","1.258","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197313","135.953","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197401","No Data Reported","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197402","2.679","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197403","7.871","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197404","117","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197405","235.613","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197406","357.333","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197407","348.516","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197408","186.516","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197409","264.033","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197410","300.71","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","197411","186.6","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
